,start_passe,end_passe,x,y,end_x,end_y,player_start,player_end,team_start,team_end,successful
615,52559,52651,99.50763,41.496407,51.916534,49.619232,"('0', '0')","('0', '7')",0,0,True
616,52654,52673,51.406322,49.76879,56.1689,53.56134,"('0', '7')","('1', '6')",0,1,False
617,52698,52803,59.34098,54.16474,29.776194,51.08537,"('0', '9')","('1', '3')",0,1,False
618,52724,52803,60.883286,48.42624,29.776194,51.08537,"('0', '5')","('1', '3')",0,1,False
619,52841,52911,25.708115,50.535706,33.111374,56.32695,"('1', '3')","('1', '5')",1,1,True
620,53032,53070,40.947174,40.454735,41.95907,22.206652,"('1', '5')","('0', '4')",1,0,False
622,53285,53314,54.71467,3.8301957,42.668198,4.6071544,"('1', '8')","('1', '9')",1,1,True
624,53514,53571,34.230583,19.262268,26.79138,41.787228,"('1', '8')","('1', '3')",1,1,True
625,53625,53681,30.673073,47.80624,70.70466,48.508068,"('1', '3')","('0', '8')",1,0,False
626,53686,53702,70.786224,48.542843,66.20599,49.562405,"('0', '8')","('1', '4')",0,1,False
627,53788,53877,62.71555,42.41326,25.894165,27.657797,"('0', '7')","('1', '10')",0,1,False
628,53981,54015,19.25325,28.780766,22.97525,41.139114,"('1', '10')","('1', '3')",1,1,True
